name,lon,lat,code
BPM de Mos,-8.636513,42.1911468,branch:PBM038
BPM de Nigrán,-8.79575,42.1418,branch:PBM040
BPM de Poio,-8.6844624,42.4345299,branch:PBM043
ALM de Areas,-8.52692,42.1798,branch:PAM024
BPM de Ponteareas,-8.5081,42.1747,branch:PBM046
ALM de Ribadetea,-8.522271,42.2013939,branch:PAM013
ALM de Xinzo,-8.557792,42.103174,branch:PAM014
ALM Trovador Xoán García de Guillade,-8.429633,42.173117,branch:PAM012
BPM de Pontecesures,-8.65051,42.7213,branch:PBM048
BPM do Porriño,-8.619145,42.160338,branch:PBM055
BPM de Portas,-8.65373,42.5775,branch:PBM056
BPM Xela Arias de Chapela,-8.669232,42.265662,branch:PAM030
BPM Valle-Inclán,-8.60947,42.2831,branch:PBM057
BPM de Ribadumia,-8.757606,42.514089,branch:PBM058
BPM Manuel Lamazares,-7.94421,42.6486,branch:PBM059
BPM do Rosal,-8.83669,41.9371,branch:PBM060
B. Alfonso D. Rodríguez Castelao,-8.55669,42.1038,branch:PAM015
BPM de Salvaterra de Miño,-8.497683,42.084198,branch:PBM061
B. Central Emilia Pardo Bazán,-8.797747,42.4035127,branch:PSAN1
BPM de Portonovo,-8.82579,42.3954,branch:PSAN2
ALM de Vilalonga,-8.834573,42.44339,branch:PSAN3
BPM Daniel Castelao,-8.24654,42.6998,branch:PBM064
BPM Luís Seoane,-8.60893,42.3424,branch:PBM065
BPM de Tui,-8.647726,42.0496824,branch:PBM067
BPM de Valga,-8.6903740,42.6959313,branch:PBM068
BPM de Cordeiro,-8.6903741,42.6959313,branch:PBM088
BPM Xosé Neira Vilas,-8.699824,42.228905,branch:VIGO1
BP de Vigo Juan Compañel,-8.725410,42.2390755,branch:BV
BPM Neira Vilas de Vila de Cruces,-8.166726,42.792976,branch:PBM077
BPM de Vilaboa,-8.64815,42.328997,branch:PBM078
ALM de Carril,-8.7744,42.616,branch:PAM016
ALM de Bamio,-8.759478,42.6301228,branch:PAM017
BPM Rosalía de Castro,-8.76525,42.597,branch:PBM080
ALM de Vilaxoán,-8.7878,42.5868,branch:PAM018
BPM Irmáns Camba,-8.82859,42.5623,branch:PBM082
BP de Pontevedra Antonio Odriozola,-8.65057,42.4326,branch:BP
